Name	Hex	Decimal
MK_E_FIRST	0x800401E0	-2147221024
MK_E_LAST	0x800401EF	-2147221009
MK_S_FIRST	0x000401E0	262624
MK_S_LAST	0x000401EF	262639
MK_E_CONNECTMANUALLY	0x800401E0	-2147221024
MK_E_EXCEEDEDDEADLINE	0x800401E1	-2147221023
MK_E_NEEDGENERIC	0x800401E2	-2147221022
MK_E_UNAVAILABLE	0x800401E3	-2147221021
MK_E_SYNTAX	0x800401E4	-2147221020
MK_E_NOOBJECT	0x800401E5	-2147221019
MK_E_INVALIDEXTENSION	0x800401E6	-2147221018
MK_E_INTERMEDIATEINTERFACENOTSUPPORTED	0x800401E7	-2147221017
MK_E_NOTBINDABLE	0x800401E8	-2147221016
MK_E_NOTBOUND	0x800401E9	-2147221015
MK_E_CANTOPENFILE	0x800401EA	-2147221014
MK_E_MUSTBOTHERUSER	0x800401EB	-2147221013
MK_E_NOINVERSE	0x800401EC	-2147221012
MK_E_NOSTORAGE	0x800401ED	-2147221011
MK_E_NOPREFIX	0x800401EE	-2147221010
MK_E_ENUMERATION_FAILED	0x800401EF	-2147221009
CO_E_FIRST	0x800401F0	-2147221008
CO_E_LAST	0x800401FF	-2147220993
CO_S_FIRST	0x000401F0	262640
CO_S_LAST	0x000401FF	262655
CO_E_NOTINITIALIZED	0x800401F0	-2147221008
CO_E_ALREADYINITIALIZED	0x800401F1	-2147221007
CO_E_CANTDETERMINECLASS	0x800401F2	-2147221006
CO_E_CLASSSTRING	0x800401F3	-2147221005
CO_E_IIDSTRING	0x800401F4	-2147221004
CO_E_APPNOTFOUND	0x800401F5	-2147221003
CO_E_APPSINGLEUSE	0x800401F6	-2147221002
CO_E_ERRORINAPP	0x800401F7	-2147221001
CO_E_DLLNOTFOUND	0x800401F8	-2147221000
CO_E_ERRORINDLL	0x800401F9	-2147220999
CO_E_WRONGOSFORAPP	0x800401FA	-2147220998
CO_E_OBJNOTREG	0x800401FB	-2147220997
CO_E_OBJISREG	0x800401FC	-2147220996
CO_E_OBJNOTCONNECTED	0x800401FD	-2147220995
CO_E_APPDIDNTREG	0x800401FE	-2147220994
CO_E_RELEASED	0x800401FF	-2147220993
EVENT_E_FIRST	0x80040200	-2147220992
EVENT_E_LAST	0x8004021F	-2147220961
EVENT_S_FIRST	0x00040200	262656
EVENT_S_LAST	0x0004021F	262687
EVENT_S_SOME_SUBSCRIBERS_FAILED	0x00040200	262656
EVENT_E_ALL_SUBSCRIBERS_FAILED	0x80040201	-2147220991
EVENT_S_NOSUBSCRIBERS	0x00040202	262658
EVENT_E_QUERYSYNTAX	0x80040203	-2147220989
EVENT_E_QUERYFIELD	0x80040204	-2147220988
EVENT_E_INTERNALEXCEPTION	0x80040205	-2147220987
EVENT_E_INTERNALERROR	0x80040206	-2147220986
EVENT_E_INVALID_PER_USER_SID	0x80040207	-2147220985
EVENT_E_USER_EXCEPTION	0x80040208	-2147220984
EVENT_E_TOO_MANY_METHODS	0x80040209	-2147220983
EVENT_E_MISSING_EVENTCLASS	0x8004020A	-2147220982
EVENT_E_NOT_ALL_REMOVED	0x8004020B	-2147220981
EVENT_E_COMPLUS_NOT_INSTALLED	0x8004020C	-2147220980
EVENT_E_CANT_MODIFY_OR_DELETE_UNCONFIGURED_OBJECT	0x8004020D	-2147220979
EVENT_E_CANT_MODIFY_OR_DELETE_CONFIGURED_OBJECT	0x8004020E	-2147220978
EVENT_E_INVALID_EVENT_CLASS_PARTITION	0x8004020F	-2147220977
EVENT_E_PER_USER_SID_NOT_LOGGED_ON	0x80040210	-2147220976
XACT_E_FIRST	0x8004D000	-2147168256
XACT_E_LAST	0x8004D029	-2147168215
XACT_S_FIRST	0x0004D000	315392
XACT_S_LAST	0x0004D010	315408
XACT_E_ALREADYOTHERSINGLEPHASE	0x8004D000	-2147168256
XACT_E_CANTRETAIN	0x8004D001	-2147168255
XACT_E_COMMITFAILED	0x8004D002	-2147168254
XACT_E_COMMITPREVENTED	0x8004D003	-2147168253
XACT_E_HEURISTICABORT	0x8004D004	-2147168252
XACT_E_HEURISTICCOMMIT	0x8004D005	-2147168251
XACT_E_HEURISTICDAMAGE	0x8004D006	-2147168250
XACT_E_HEURISTICDANGER	0x8004D007	-2147168249
XACT_E_ISOLATIONLEVEL	0x8004D008	-2147168248
XACT_E_NOASYNC	0x8004D009	-2147168247
XACT_E_NOENLIST	0x8004D00A	-2147168246
XACT_E_NOISORETAIN	0x8004D00B	-2147168245
XACT_E_NORESOURCE	0x8004D00C	-2147168244
XACT_E_NOTCURRENT	0x8004D00D	-2147168243
XACT_E_NOTRANSACTION	0x8004D00E	-2147168242
XACT_E_NOTSUPPORTED	0x8004D00F	-2147168241
XACT_E_UNKNOWNRMGRID	0x8004D010	-2147168240
XACT_E_WRONGSTATE	0x8004D011	-2147168239
XACT_E_WRONGUOW	0x8004D012	-2147168238
XACT_E_XTIONEXISTS	0x8004D013	-2147168237
XACT_E_NOIMPORTOBJECT	0x8004D014	-2147168236
XACT_E_INVALIDCOOKIE	0x8004D015	-2147168235
XACT_E_INDOUBT	0x8004D016	-2147168234
XACT_E_NOTIMEOUT	0x8004D017	-2147168233
XACT_E_ALREADYINPROGRESS	0x8004D018	-2147168232
XACT_E_ABORTED	0x8004D019	-2147168231
XACT_E_LOGFULL	0x8004D01A	-2147168230
XACT_E_TMNOTAVAILABLE	0x8004D01B	-2147168229
XACT_E_CONNECTION_DOWN	0x8004D01C	-2147168228
XACT_E_CONNECTION_DENIED	0x8004D01D	-2147168227
XACT_E_REENLISTTIMEOUT	0x8004D01E	-2147168226
XACT_E_TIP_CONNECT_FAILED	0x8004D01F	-2147168225
XACT_E_TIP_PROTOCOL_ERROR	0x8004D020	-2147168224
XACT_E_TIP_PULL_FAILED	0x8004D021	-2147168223
XACT_E_DEST_TMNOTAVAILABLE	0x8004D022	-2147168222
XACT_E_TIP_DISABLED	0x8004D023	-2147168221
XACT_E_NETWORK_TX_DISABLED	0x8004D024	-2147168220
XACT_E_PARTNER_NETWORK_TX_DISABLED	0x8004D025	-2147168219
XACT_E_XA_TX_DISABLED	0x8004D026	-2147168218
XACT_E_UNABLE_TO_READ_DTC_CONFIG	0x8004D027	-2147168217
XACT_E_UNABLE_TO_LOAD_DTC_PROXY	0x8004D028	-2147168216
XACT_E_ABORTING	0x8004D029	-2147168215
XACT_E_CLERKNOTFOUND	0x8004D080	-2147168128
XACT_E_CLERKEXISTS	0x8004D081	-2147168127
XACT_E_RECOVERYINPROGRESS	0x8004D082	-2147168126
